sep=,
Data Mastering,Country,Region,Block,Prospect,Field Name,Well Name,UBHI,Wellbore Name,Wellbore Common Name,Current Operator,Original Operator,Well Existence,Wellbore Situation,Start Date,Spud Date,Spud Year,Completion Date,Abandon Date,TD Date,Water Depth [m],Ground Elevation [m],Total Depth [m],TVDDF [m],TVDSS [m],Reference Point (for TD),DF Elevation [m],KB Elevation [m],RT Elevation [m],Original Vertical Measurement Unit,Phase,Preferred Name,Wellbore Classification,Current Status,Hydrocarbon Type,Trajectory Shape,Top Latitude,Top Longitude,QC Status,Resource Security Classification,App Readiness,Default Vertical Measurement ID,Definitive Trajectory ID
Master,Malaysia,SK,BALINGIAN,,TEMANA,TEMANA-A19,1000005635,TEMANA-A19,TEMANA-A19,PETRONAS CARIGALI SDN. BHD.,SARAWAK SHELL BERHAD,Actual,Offshore,,07-1-1980,1980,08-2-1980,,,26.52,,1093.62,,981.46,DF,22.86,,,foot,Develop,MYSTMNA-A019,[petronas-osdu:reference-data--FacilityStateType:Unknown:],"Drilled, oil producer",,Deviated,3.237262,112.713752,High,INTERNAL USE,true,MSL,TEMANA-A19 - Trajectory - 274807898
Master,Malaysia,SB,SAMARANG,,ERB WEST,ERB WEST-A125,1000002886,ERB WEST-A125,ERB WEST-A125,PETRONAS CARIGALI SDN. BHD.,SABAH SHELL PETROLEUM COMPANY LIMITED,Actual,Offshore,,14-4-1988,1988,11-5-1988,,04-5-1988,61.87,,3123.29,2252.78,2225.04,DF,27.74,,,foot,Develop,MYSERBW-A125,[petronas-osdu:reference-data--FacilityStateType:Unknown:],Completed,,Deviated,6.345539,115.657350,High,INTERNAL USE,true,MSL,ERB WEST-A125 - Trajectory - 274774790
Master,Malaysia,SB,SAMARANG,,ERB WEST,ERB WEST-A124,1000002880,ERB WEST-A124,ERB WEST-A124,PETRONAS CARIGALI SDN. BHD.,SABAH SHELL PETROLEUM COMPANY LIMITED,Actual,Offshore,,12-4-1988,1988,06-6-1988,,24-5-1988,61.87,,2517.65,669.55,641.81,DF,30.48,,,foot,Develop,MYSERBW-A124,[petronas-osdu:reference-data--FacilityStateType:Unknown:],Unknown,,Deviated,6.345572,115.657366,High,INTERNAL USE,true,MSL,ERB WEST-A124 - Trajectory - 274774760
Master,Malaysia,PM,,,SOTONG,SOTONG-B2,1000002245,SOTONG-B2,SOTONG-B2,PETRONAS,CONTINENTAL OIL COMPANY OF MALAYSIA,Actual,Offshore,,24-9-1973,1973,27-10-1973,,27-10-1973,71.63,,2930.04,,,KB,,10.97,,foot,Develop,MYSSOTG-B002,[petronas-osdu:reference-data--FacilityStateType:Unknown:],"P&A, unknown",,,4.903821,104.781966,High,INTERNAL USE,true,MSL,
Master,Malaysia,SB,SAMARANG,,ERB WEST,ERB WEST-B209,1000002916,ERB WEST-B209S1,ERB WEST-B209S1,PETRONAS CARIGALI SDN. BHD.,SABAH SHELL PETROLEUM COMPANY LIMITED,Actual,Offshore,,26-9-1989,1989,16-7-1990,,,63.70,,3221.74,650.23,622.49,DF,27.74,,,foot,Develop,MYSERBW-B209,[petronas-osdu:reference-data--FacilityStateType:Unknown:],Completed,,Horizontal,6.350359,115.684798,High,INTERNAL USE,true,MSL,ERB WEST-B209S1 - Trajectory - 274774970
Master,Malaysia,SK,BALINGIAN,,TEMANA,TEMANA-3,1000005606,TEMANA-3,TEMANA-3,PETRONAS CARIGALI SDN. BHD.,SARAWAK SHELL BERHAD,Actual,Offshore,,03-10-1962,1962,26-9-1962,23-10-1962,,30.18,,2319.53,,,DF,19.51,,,foot,Explore,MYSTMNA00003,[petronas-osdu:reference-data--FacilityStateType:Appraisal:],"P&A, unknown",,,3.255297,112.801755,High,INTERNAL USE,true,MSL,TEMANA-3 - Trajectory - 274807808
Master,Malaysia,PM,PM9,,TINGGI,TINGGI-1,1000002566,TINGGI-1,TINGGI-1,PETRONAS CARIGALI SDN. BHD.,EXXONMOBIL EXPLORATION AND PRODUCTION MALAYSIA INC.,Actual,Offshore,,13-7-1980,1980,13-8-1980,13-8-1980,,71.63,,2054.05,,,KB,,14.33,14.33,foot,Explore,MYSTGGI00001,[petronas-osdu:reference-data--FacilityStateType:Wildcat:],"P&A, oil and gas show",,,5.474766,105.437631,High,INTERNAL USE,true,MSL,TINGGI-1 - Trajectory - 275974263
Master,Malaysia,PM,PM9,,BEKOK,BEKOK-C8,1000000270,BEKOK-C8S2,BEKOK-C8S2,PETRONAS CARIGALI SDN. BHD.,EXXONMOBIL EXPLORATION AND PRODUCTION MALAYSIA INC.,Actual,Offshore,,22-5-1982,1982,25-5-1982,,,68.88,,2789.53,1687.68,1687.68,KB,,34.14,,foot,Develop,MYSBEKK-C008S02,[petronas-osdu:reference-data--FacilityStateType:Unknown:],"Drilled, oil producer",,,5.409544,105.190870,High,INTERNAL USE,true,MSL,BEKOK-C8S2 - Trajectory - 272106281
Master,Malaysia,PM,PM9,,BEKOK,BEKOK-2,1000000175,BEKOK-2,BEKOK-2,PETRONAS CARIGALI SDN. BHD.,EXXONMOBIL EXPLORATION AND PRODUCTION MALAYSIA INC.,Actual,Offshore,03-3-1972,06-12-1971,1971,08-3-1972,08-3-1972,,70.71,,2512.77,2120.04,,KB,,21.95,,foot,Explore,MYSBEKK00002,[petronas-osdu:reference-data--FacilityStateType:Appraisal:],"P&A, unknown",,,5.417253,105.236276,High,INTERNAL USE,true,MSL,
Master,Malaysia,PM,2008 PSC,,TABU,TABU-2,1000002301,TABU-2,TABU-2,EXXONMOBIL EXPLORATION AND PRODUCTION MALAYSIA INC.,EXXONMOBIL EXPLORATION AND PRODUCTION MALAYSIA INC.,Actual,Offshore,,30-1-1979,1979,21-3-1979,19-3-1979,,62.48,,2696.87,,,KB,,11.58,,foot,Explore,MYSTABU00002,[petronas-osdu:reference-data--FacilityStateType:Appraisal:],"P&A, oil and gas show",,,5.682704,104.850071,High,INTERNAL USE,true,MSL,
